Borough,County,Total_fare,Tip,Passenger_count,Distance,Dispute,#Trip,Average_speed,Time
Manhattan,1,22.05,5.5,1,3.84,0,2,17.95,13
Manhattan,3,33.8,0,1,12.3,0,1,17.12,18.43
Manhattan,4,14.61,1.45,1.41,3.15,0,180,15.59394444,18.72222222
Manhattan,5,12.33,1.17,1.36,2.43,0,157,15.29184713,20.56687898
Manhattan,6,14.38,0.93,1.32,3.04,6,2523,14.73310304,23.48642173
Manhattan,7,13.08,0.61,1.31,2.89,19,2964,16.62567271,21.22149949
Manhattan,8,13.05,0.84,1.28,2.68,34,6225,14.23980694,21.2770928
Manhattan,9,15.71,0.94,1.24,3.57,10,1592,17.18740077,23.88412292
Bronx,10,17.7,0.53,1.36,3.59,1,326,17.37536424,25.7615894
Bronx,11,25.03,0.71,1.42,3.82,4,121,19.6646789,16.85321101
Bronx,12,15.77,0.27,1.56,3.82,0,166,18.75216049,36.05555556
Bronx,13,13.75,0.41,1.38,3.05,17,633,14.27873147,39.55189456
Bronx,14,13.09,0.25,1.3,2.86,10,670,15.17402141,16.35474006
Bronx,15,16.58,0.43,1.36,4.08,1,349,19.3910355,24.40236686
Bronx,16,24.22,2.03,1.12,6.05,0,26,20.96041667,16.66666667
Queens,17,15.97,0.77,1.42,3.65,0,516,17.34082353,21.37647059
Queens,18,12.21,0.3,1.58,2.43,11,2391,12.19184824,21.18270454
Queens,19,14.6,1.15,1.59,3.17,10,4128,15.30339922,24.23572474
Queens,20,61.12,0.93,1.14,4.34,0,21,20.04,12.35
Queens,21,21,1.5,1.3,4.91,1,191,20.44859459,16.2972973
Queens,22,12.65,0.48,1.52,2.59,9,3988,13.00394207,22.16700252
Queens,23,14.68,0.92,1.54,3.16,13,4763,14.34961897,29.33086367
Queens,24,17.55,1.1,1.14,3.97,0,496,20.33541152,21.89711934
Queens,25,25.98,1.57,1.41,4.07,0,119,15.78357798,47.75229358
Queens,26,14.75,0.94,1.35,3.33,4,1821,16.66032009,31.30242826
Queens,27,64.39,13.7,1.21,4.89,0,14,13.05,22.88888889
Queens,28,22.77,0.93,1.56,5.48,0,118,17.2675,18.14655172
Queens,29,16.93,1.67,1.45,3.67,25,8276,15.06026485,32.3503827
Broklyn,30,15.41,1.52,1.37,3.18,17,4067,13.89340352,27.65593262
Broklyn,31,15.01,1.37,1.34,2.98,23,2791,13.51828301,26.84758094
Broklyn,32,17.94,1.59,1.43,3.77,2,537,13.09240458,37.27480916
Broklyn,33,21.61,2.06,1.42,5.28,6,769,18.12852825,39.28646518
Broklyn,34,16.26,1.75,1.49,3.46,11,3454,14.78437663,25.11740773
Broklyn,35,16.44,1.5,1.25,3.46,3,733,14.12748252,26.94965035
Broklyn,36,16.83,1.42,1.29,3.38,7,577,14.39712747,32.86355476
Broklyn,37,16.97,1.35,1.38,3.58,2,218,17.36339623,33.74056604
Broklyn,38,18.49,1.33,1.41,4.48,0,155,17.32741722,42.26490066
Broklyn,39,13.8,0.88,1.33,3.2,1,36,14.41942857,12.62857143
Broklyn,40,17.68,1.96,1.23,3.35,1,206,13.25706186,30.52061856
Broklyn,41,20.08,1.17,1.25,4.81,1,81,15.741375,36.1625
Broklyn,42,26.28,1.47,1.19,6.53,0,110,19.63613861,31.69306931
Broklyn,43,17.11,0.8,1.63,4.2,1,156,17.26405229,30.52941176
Broklyn,44,54.3,0,1,17.05,0,1,16.5,62
Broklyn,45,26.9,0,2.5,0,0,2,0,1
