Passenger_count,Trip_distance,Fare_amount,Tip_amount,Total_amount
1,1.46,8,1.86,11.16
1,3.56,15.5,0,16.8
1,3.79,16.5,4.45,22.25
1,3.01,13.5,0,14.8
1,2.55,12,0,13.3
1,1.37,7,0,8.3
1,0.57,5,0,6.3
1,1.01,7,0,8.3
1,2.46,12,2,15.3
1,1.61,9,1.6,11.9
1,0.72,6,1.82,9.12
1,0.32,3.5,0.96,5.76
1,3.54,14.5,0,15.8
1,1.1,6,0,7.3
1,2.28,11,2,14.3
1,0.68,4.5,1.16,6.96
1,1.36,10,0,11.3
1,3.07,15.5,3,19.8
1,1.52,7.5,0,8.8
1,2.55,11.5,0,12.8
1,1.57,7.5,0,8.8
1,3.88,15,4.08,20.38
1,3.97,16.5,0,17.8
2,5.32,22.5,3,26.8
2,1.76,9,3.09,13.39
1,3.31,13.5,0,14.8
1,2.21,10,2.26,13.56
1,1.2,6.5,0,7.8
6,0.61,5,0,6.3
5,5.34,19.5,0,20.8
5,6.66,21,0,22.3
1,5.03,16,0,17.3
1,4.33,17.5,0,18.8
1,5.66,19,0,20.3
1,3.31,13,0,14.3
1,1.97,9.5,0,10.8
1,3.09,12,3,16.3
1,3.32,14.5,3.16,18.96
1,3.78,14.5,0,15.8
1,0.58,5,1.26,7.56
1,3.57,13,0,14.3
2,9.97,30.5,7.47,44.81
1,1.78,9.5,0,10.8
1,1.66,9,0,10.3
1,1.35,7.5,0,8.8
1,1.56,8,0,9.3
1,1.64,9.5,0,10.8
1,1.25,7.5,0,8.8
5,4.54,18.5,3.96,23.76
1,1.49,8,0,9.3
1,2.33,11,0,12.3
1,7.18,24.5,0,25.8
1,0.45,4,0,5.3
1,3.51,14.5,0,15.8
1,2.5,11,0,12.3
1,2.1,8,0,9.3
1,3.79,14.5,0,15.8
1,1.68,8.5,0,9.8
1,0.54,4,0,5.3
1,3.37,15,3.26,19.56
2,0.6,4,0,5.3
1,1.46,8.5,2.94,12.74
1,1.08,5.5,1.36,8.16
1,4.09,15.5,0,16.8
1,3.87,14.5,0,15.8
4,1.68,8,0,9.3
2,0.56,4,0,5.3
2,1.77,7.5,0,8.8
1,4.02,13.5,3.7,18.5
1,5.55,18.5,0,19.8
1,5.51,17.5,0,18.8
1,0.85,5.5,0,6.8
1,0.92,4.5,0,5.8
1,3.57,12.5,0,13.8
6,2.98,11.5,2.56,15.36
1,2.11,8.5,1.96,11.76
1,2.66,12,2.66,15.96
1,2.92,12.5,2.76,16.56
1,1.23,6.5,2.34,10.14
1,0.78,4.5,1.45,7.25
1,6.53,19.5,0,20.8
1,1.36,6.5,1.95,9.75
1,3.68,14,3.06,18.36
1,7.99,25.5,0,26.8
1,2.15,9,3.09,13.39
1,0.71,7,1.66,9.96
1,16.95,47,3,51.3
1,1.86,8.5,2.45,12.25
1,3.44,13,0,14.3
1,1.38,7,1,9.3
